Ticker Symbol,Company Name,Annoucement Date,For Quarter Ended In,Estimated EPS,Actual EPS,Surprise,Surprise %
PRGO,Perrigo,6-Nov-19,19-Sep,0.93,1.04,0.11,11.8
ALXN,Alexion Pharmaceuticals,23-Oct-19,19-Sep,2.49,2.79,0.3,12
BAC,Bank of America Corp,16-Oct-19,19-Sep,0.5,0.56,0.06,12
ALGN,Align Technology,23-Oct-19,19-Sep,1.14,1.28,0.14,12.2
LMT,Lockheed Martin Corp.,22-Oct-19,19-Sep,5.03,5.66,0.63,12.5
NUE,Nucor Corp.,22-Oct-19,19-Sep,0.8,0.9,0.1,12.5
DIS,The Walt Disney Company,7-Nov-19,19-Sep,0.95,1.07,0.12,12.6
KEYS,Keysight Technologies,26-Nov-19,19-Oct,1.18,1.33,0.15,12.7
ALL,Allstate Corp,29-Oct-19,19-Sep,2.52,2.84,0.32,12.7
KLAC,KLA Corporation,30-Oct-19,19-Sep,2.2,2.48,0.28,12.7
LUV,Southwest Airlines,24-Oct-19,19-Sep,1.09,1.23,0.14,12.8
BWA,BorgWarner,31-Oct-19,19-Sep,0.85,0.96,0.11,12.9
EA,Electronic Arts,29-Oct-19,19-Sep,0.85,0.96,0.11,12.9
CPB,Campbell Soup,4-Dec-19,19-Oct,0.69,0.78,0.09,13
K,Kellogg Co.,29-Oct-19,19-Sep,0.91,1.03,0.12,13.1
MLM,Martin Marietta Materials,29-Oct-19,19-Sep,3.5,3.96,0.46,13.1
TTWO,Take-Two Interactive,7-Nov-19,19-Sep,1.67,1.89,0.22,13.1
MKC,McCormick & Co.,1-Oct-19,19-Aug,1.29,1.46,0.17,13.1
NVDA,Nvidia Corporation,14-Nov-19,19-Oct,1.57,1.78,0.21,13.3
LDOS,Leidos Holdings,29-Oct-19,19-Sep,1.2,1.36,0.16,13.3
LEG,Leggett & Platt,28-Oct-19,19-Sep,0.67,0.76,0.09,13.4
CRM,Salesforce.com,3-Dec-19,19-Oct,0.66,0.75,0.09,13.6
ANSS,ANSYS,6-Nov-19,19-Sep,1.25,1.42,0.17,13.6
SCHW,Charles Schwab Corporation,15-Oct-19,19-Sep,0.65,0.74,0.09,13.8
XRAY,Dentsply Sirona,7-Nov-19,19-Sep,0.5,0.57,0.07,14
TGT,Target Corp.,20-Nov-19,19-Oct,1.19,1.36,0.17,14.2
INTC,Intel Corp.,24-Oct-19,19-Sep,1.24,1.42,0.18,14.5
ADM,Archer-Daniels-Midland Co,31-Oct-19,19-Sep,0.67,0.77,0.1,14.9
CTVA,Corteva,31-Oct-19,19-Sep,-0.46,-0.39,0.07,15.2
EW,Edwards Lifesciences,23-Oct-19,19-Sep,1.22,1.41,0.19,15.5
COF,Capital One Financial,24-Oct-19,19-Sep,2.87,3.32,0.45,15.6
ISRG,Intuitive Surgical Inc.,17-Oct-19,19-Sep,2.96,3.43,0.47,15.8
NOC,Northrop Grumman,24-Oct-19,19-Sep,4.74,5.49,0.75,15.8
NTAP,NetApp,13-Nov-19,19-Oct,0.94,1.09,0.15,15.9
CINF,Cincinnati Financial,24-Oct-19,19-Sep,0.93,1.08,0.15,16.1
CAH,Cardinal Health Inc.,7-Nov-19,19-Sep,1.09,1.27,0.18,16.5
COTY,Coty Inc,6-Nov-19,19-Sep,0.06,0.07,0.01,16.6
MU,Micron Technology,26-Sep-19,19-Aug,0.48,0.56,0.08,16.6
QRVO,Qorvo,31-Oct-19,19-Sep,1.3,1.52,0.22,16.9
PYPL,PayPal,23-Oct-19,19-Sep,0.52,0.61,0.09,17.3
HFC,HollyFrontier Corp,31-Oct-19,19-Sep,1.43,1.68,0.25,17.4
FMC,FMC Corporation,29-Oct-19,19-Sep,0.8,0.94,0.14,17.5
SO,Southern Co.,30-Oct-19,19-Sep,1.14,1.34,0.2,17.5
CMS,CMS Energy,24-Oct-19,19-Sep,0.62,0.73,0.11,17.7
FOXA,Fox Corporation Class A,6-Nov-19,19-Sep,0.7,0.83,0.13,18.5
HIG,Hartford Financial Svc.Gp.,4-Nov-19,19-Sep,1.26,1.5,0.24,19
PFE,Pfizer Inc.,29-Oct-19,19-Sep,0.63,0.75,0.12,19
CMG,Chipotle Mexican Grill,22-Oct-19,19-Sep,3.2,3.82,0.62,19.3
TMUS,T-Mobile US,28-Oct-19,19-Sep,0.97,1.16,0.19,19.5
FTNT,Fortinet,31-Oct-19,19-Sep,0.56,0.67,0.11,19.6
